ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
100000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 1.24975e-14 8.37076e-15 7.67189e-15 
5 3.82919e-14 2.05539e-14 1.25345e-14 
9 2.2718e-14 1.74926e-14 -6.99108e-15 
13 1.50981e-14 8.7361e-15 -1.22564e-14 
17 5.00959e-14 4.92409e-15 4.34905e-14 
21 4.67206e-14 1.54949e-14 1.21793e-14 
25 2.77699e-14 5.36271e-15 -1.18254e-14 
29 3.44204e-14 1.27209e-14 -1.87224e-14 
33 2.98237e-14 -9.02537e-15 2.04494e-14 
37 3.59451e-14 -8.37787e-15 6.93861e-15 
41 4.59755e-14 -1.50059e-14 -8.11533e-15 
45 3.72548e-14 -1.49977e-14 -2.49615e-14 
49 4.77064e-14 -2.38463e-14 2.76127e-14 
53 1.57157e-14 -9.66969e-15 3.24357e-15 
57 2.76407e-14 -1.73949e-14 -3.37428e-15 
61 1.61351e-14 -1.29907e-14 -1.10809e-14 
65 1.18048e-14 1.22345e-14 1.33152e-14 
69 1.92793e-14 3.05757e-14 1.8823e-15 
73 3.77498e-15 2.64642e-15 1.59643e-16 
77 2.49313e-14 2.25539e-14 -1.38404e-14 
81 3.01756e-15 1.71115e-14 9.44625e-15 
85 2.47359e-15 1.50532e-14 2.79823e-15 
89 4.4378e-15 1.60608e-14 -8.40951e-15 
93 1.30067e-14 2.72891e-14 -1.74481e-14 
97 -2.02509e-15 6.31417e-15 4.45263e-15 
101 -9.46544e-16 1.09737e-14 3.14259e-15 
105 5.29847e-16 3.77579e-15 -2.49825e-15 
109 0 0 0 
113 -2.5448e-15 1.5887e-15 2.16941e-15 
117 4.05194e-16 5.85781e-15 1.55512e-15 
121 0 0 0 
125 0 0 0 
129 1.55312e-14 2.13243e-14 2.30015e-14 
133 4.6292e-15 2.24116e-16 8.54575e-15 
137 1.4308e-14 -2.37076e-15 2.00683e-14 
141 1.28705e-14 -1.25413e-15 7.57318e-15 
145 7.76479e-16 5.80524e-15 6.11378e-15 
149 1.11461e-14 7.16878e-15 2.72608e-14 
153 9.63938e-15 -3.05014e-15 2.01179e-14 
157 4.87859e-15 -1.20233e-14 1.31934e-14 
161 4.07378e-15 1.01488e-14 1.20863e-14 
165 0 0 0 
169 -3.55422e-15 -3.02976e-15 3.06775e-14 
173 -8.30463e-16 -2.13725e-15 1.69299e-15 
177 -4.79525e-15 6.18129e-15 8.1741e-15 
181 -1.35908e-15 7.54097e-16 2.16805e-15 
185 0 0 0 
189 -2.26854e-15 -2.5595e-15 1.25138e-15 
2 8.54822e-15 4.25982e-15 6.06934e-15 
6 4.81821e-14 3.55342e-14 1.22496e-14 
10 1.84844e-14 8.10949e-15 -3.54993e-15 
14 2.98844e-14 1.7526e-14 -1.50567e-14 
18 1.96164e-14 4.18978e-15 1.34778e-14 
22 2.82296e-14 9.14128e-15 7.07076e-15 
26 7.38558e-14 1.97613e-14 -1.43814e-14 
30 2.60741e-14 -6.88677e-17 -1.68192e-14 
34 1.89938e-14 -9.60176e-15 9.46573e-15 
38 8.90559e-14 -1.90865e-14 1.92514e-14 
42 7.07206e-14 -1.14921e-14 -1.00151e-14 
46 2.33127e-14 -3.48414e-15 -1.43225e-14 
50 6.16329e-15 -5.45352e-15 4.82817e-15 
54 3.78445e-14 -1.72612e-14 8.3097e-15 
58 3.08375e-14 -1.75961e-14 -9.99963e-15 
62 2.55312e-14 -1.94726e-14 -2.03929e-14 
66 9.58779e-16 2.36756e-15 2.99707e-15 
70 1.67349e-14 3.02576e-14 5.91463e-15 
74 8.29401e-15 1.22185e-14 -1.75944e-15 
78 3.98331e-14 6.27634e-14 -3.85288e-14 
82 2.88266e-15 1.19687e-14 7.32736e-15 
86 6.45488e-15 2.89157e-14 5.31826e-15 
90 8.11489e-15 2.74649e-14 -3.04826e-15 
94 3.71742e-15 1.4095e-14 -8.55648e-15 
98 1.00815e-16 2.45733e-15 2.25668e-15 
102 -4.40499e-15 1.69758e-14 3.06358e-15 
106 1.17927e-15 1.66738e-14 -4.309e-15 
110 2.09701e-16 8.60295e-15 -4.79623e-15 
114 -1.69394e-15 3.01398e-15 3.90274e-15 
118 -6.59861e-16 2.74671e-15 -9.28504e-16 
122 -2.39453e-15 8.56262e-15 -2.61441e-15 
126 -1.51054e-15 1.11404e-15 -6.85357e-17 
130 1.49032e-14 6.43558e-15 8.94787e-15 
134 1.8294e-14 7.07606e-15 1.76545e-14 
138 2.57007e-14 -5.5127e-15 3.67702e-14 
142 1.91585e-14 -1.38125e-14 3.1597e-14 
146 6.23362e-15 1.48276e-14 2.03145e-14 
150 2.47659e-15 1.65227e-15 5.45765e-15 
