ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 3.20056e-14 2.36818e-14 1.89814e-14 
5 1.55963e-14 1.30695e-14 3.41879e-15 
9 2.1586e-14 1.05853e-14 -4.25085e-15 
13 6.93928e-15 2.27044e-15 -6.97836e-15 
17 2.57606e-14 4.17109e-15 1.9306e-14 
21 2.77143e-14 7.70848e-15 4.33504e-15 
25 1.17998e-13 3.75521e-14 -2.96183e-14 
29 4.65002e-15 3.25365e-15 -7.1565e-15 
33 0 0 0 
37 1.95819e-14 -1.18458e-15 4.048e-15 
41 5.8999e-14 -1.00939e-14 -1.4336e-14 
45 0 0 0 
49 6.18983e-14 -4.03451e-14 4.7992e-14 
53 4.88965e-14 -2.15468e-14 6.91969e-15 
57 4.26773e-15 2.10404e-15 -2.40899e-16 
61 3.80054e-14 -2.17087e-14 -2.35784e-14 
65 1.64949e-14 1.74788e-14 1.25449e-14 
69 4.10767e-14 4.56769e-14 9.97361e-15 
73 5.9845e-15 5.68733e-15 -2.41565e-15 
77 6.83756e-15 1.22432e-14 -1.10083e-14 
81 2.38438e-15 6.50519e-15 5.05119e-15 
85 -3.52313e-16 8.51124e-15 3.91535e-15 
89 0 0 0 
93 1.68242e-14 4.17706e-14 -2.7131e-14 
97 6.61484e-15 7.65247e-15 4.74816e-15 
101 -8.04108e-15 4.08107e-14 2.85394e-15 
105 -8.73405e-15 2.15085e-14 -2.10534e-15 
109 -3.85813e-15 1.76157e-14 -7.50329e-15 
113 0 0 0 
117 -4.6178e-15 1.02625e-14 2.21669e-15 
121 -7.32407e-15 2.66874e-15 -2.09819e-15 
125 -4.51125e-15 4.75467e-15 -3.54925e-15 
129 1.88477e-14 2.04406e-14 1.93596e-14 
133 3.13282e-14 4.90608e-15 4.20317e-14 
137 1.4172e-14 -1.34029e-14 1.72239e-14 
141 0 0 0 
145 1.19716e-14 1.48377e-14 3.2341e-14 
149 4.95202e-15 2.90211e-15 8.89453e-15 
153 8.98417e-15 -8.43145e-15 5.28391e-14 
157 1.1624e-15 -3.62975e-15 7.87742e-15 
161 0 0 0 
165 -2.89859e-15 8.21764e-15 1.97917e-14 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 -2.31433e-15 -5.43106e-15 4.37358e-15 
189 0 0 0 
2 0 0 0 
6 6.14268e-14 3.62056e-14 1.19589e-15 
10 3.98386e-14 2.55746e-14 -3.38141e-15 
14 3.66593e-14 1.49619e-14 -3.06421e-14 
18 3.53932e-14 1.12724e-14 2.3526e-14 
22 1.21948e-14 2.91475e-15 4.15522e-15 
26 4.73052e-14 1.06193e-14 -9.9083e-15 
30 1.67864e-14 2.75192e-16 -7.04594e-15 
34 1.20146e-14 -5.39812e-16 7.7687e-15 
38 4.78121e-14 -1.31197e-14 1.36311e-14 
42 6.82386e-14 -1.15319e-14 -1.06547e-14 
46 2.31631e-14 -1.7158e-15 -1.39079e-14 
50 2.32566e-15 -4.58804e-15 7.35963e-15 
54 4.29376e-14 -2.91738e-14 1.53921e-14 
58 3.22358e-14 -2.02545e-14 -5.06974e-15 
62 4.69234e-14 -2.86492e-14 -3.5566e-14 
66 5.49881e-15 3.76917e-15 1.62916e-15 
70 0 0 0 
74 8.01957e-15 1.20222e-14 -2.1477e-15 
78 9.20745e-15 1.55327e-14 -5.71717e-15 
82 1.08715e-14 3.82734e-14 3.85004e-14 
86 4.45198e-15 1.13622e-14 7.21385e-15 
90 0 0 0 
94 1.87045e-15 1.16536e-14 -4.54728e-15 
98 -2.30143e-16 7.79599e-15 1.07539e-14 
102 -6.21035e-16 1.7971e-14 3.52884e-15 
106 -2.32893e-15 2.4371e-14 -8.39168e-15 
110 0 0 0 
114 0 0 0 
118 -3.65749e-15 8.56917e-15 3.31212e-15 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 1.52458e-14 5.81337e-15 1.60186e-14 
138 0 0 0 
142 1.20344e-14 -7.14092e-15 2.32841e-14 
146 0 0 0 
150 0 0 0 
154 6.94924e-15 -1.34241e-15 1.40244e-14 
158 -5.96827e-16 -1.20273e-14 3.05729e-14 
162 -1.50695e-15 1.21333e-14 8.82077e-15 
166 -4.93986e-15 2.34355e-15 6.49601e-15 
170 0 0 0 
174 -1.16106e-15 -4.27105e-15 5.69251e-15 
178 0 0 0 
182 0 0 0 
186 -3.1972e-15 -2.90732e-15 4.23385e-15 
190 0 0 0 
3 -5.24483e-15 2.76043e-15 -1.07869e-15 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 -1.4095e-15 3.03064e-15 -2.76116e-15 
31 0 0 0 
