ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 2.74348e-14 1.73458e-14 2.08013e-14 
5 2.23557e-14 1.4361e-14 5.19567e-15 
9 3.00618e-14 2.29926e-14 -8.821e-15 
13 2.18069e-14 1.90869e-14 -1.39299e-14 
17 2.15588e-14 4.56216e-15 1.37349e-14 
21 6.97487e-14 1.3871e-14 1.71941e-14 
25 5.16665e-14 1.4208e-14 -1.00297e-14 
29 1.97719e-14 5.66515e-15 -1.65144e-14 
33 2.63538e-14 -4.40849e-15 1.42955e-14 
37 4.99491e-14 -8.42596e-15 8.98391e-15 
41 6.39513e-14 -1.63606e-14 -1.39062e-14 
45 1.82275e-14 -4.57698e-15 -1.24111e-14 
49 4.86814e-14 -2.67653e-14 2.69796e-14 
53 2.52936e-14 -1.49156e-14 2.94341e-15 
57 2.79728e-14 -1.6019e-14 -7.70687e-15 
61 2.43915e-14 -1.50371e-14 -1.23367e-14 
65 1.31681e-14 1.72677e-14 1.31503e-14 
69 1.60738e-14 2.54111e-14 4.75051e-15 
73 1.63952e-14 2.37196e-14 -6.20289e-15 
77 1.03171e-14 1.07846e-14 -9.28217e-15 
81 4.38987e-15 1.61731e-14 1.16399e-14 
85 6.03349e-15 2.53928e-14 4.37206e-15 
89 6.55514e-15 2.68029e-14 -8.4643e-15 
93 6.46803e-15 1.23959e-14 -8.7797e-15 
97 -1.75139e-15 1.24615e-14 6.44188e-15 
101 -2.24757e-15 1.16839e-14 2.36091e-15 
105 -1.31445e-15 4.83302e-15 -8.91824e-16 
109 -3.29672e-16 3.2806e-15 -1.29197e-15 
113 -3.98304e-15 7.4675e-15 3.91965e-15 
117 -2.63189e-15 8.94152e-15 2.86087e-15 
121 -7.62508e-16 2.17146e-15 -1.17773e-16 
125 -2.85865e-16 6.84152e-16 -4.92659e-16 
129 6.1327e-15 8.52237e-15 1.11902e-14 
133 1.55091e-14 4.34506e-15 1.91929e-14 
137 1.66544e-14 -4.85583e-15 1.9695e-14 
141 1.38624e-14 -1.19909e-14 1.50499e-14 
145 5.37833e-15 1.29848e-14 1.69523e-14 
149 1.03079e-14 6.6015e-15 3.09039e-14 
153 9.73804e-15 -8.02632e-15 2.91371e-14 
157 4.08494e-15 -1.05176e-14 1.34275e-14 
161 -8.50303e-16 2.98471e-15 5.93166e-15 
165 -8.17474e-16 2.11091e-15 7.20629e-15 
169 -3.41862e-15 -2.88498e-15 1.30762e-14 
173 -1.69454e-15 -7.51711e-15 9.37324e-15 
177 -3.82731e-15 3.99505e-15 6.62767e-15 
181 -1.52944e-15 1.03435e-15 1.25554e-15 
185 -2.63186e-15 -6.64574e-16 3.6879e-15 
189 1.45112e-16 -4.91486e-16 5.49428e-16 
2 2.0613e-14 1.58063e-14 1.26333e-14 
6 2.77953e-14 1.9322e-14 5.676e-15 
10 2.40657e-14 1.52248e-14 -5.21851e-15 
14 4.60597e-14 2.39923e-14 -2.56298e-14 
18 2.29029e-14 5.01559e-15 1.28647e-14 
22 4.33297e-14 1.05443e-14 8.02677e-15 
26 5.87676e-14 1.14477e-14 -1.53559e-14 
30 2.22976e-14 5.39218e-15 -1.44227e-14 
34 2.63506e-14 -7.46294e-15 2.06008e-14 
38 5.6497e-14 -1.33619e-14 1.5589e-14 
42 6.32615e-14 -1.39574e-14 -1.52566e-14 
46 2.25887e-14 -4.01223e-15 -1.33605e-14 
50 1.90527e-14 -1.58478e-14 1.49945e-14 
54 2.51597e-14 -1.82489e-14 7.41611e-15 
58 2.95357e-14 -2.1439e-14 -8.90824e-15 
62 2.29348e-14 -1.16467e-14 -1.5281e-14 
66 1.2424e-14 1.3526e-14 1.0004e-14 
70 2.05793e-14 2.73293e-14 5.16214e-15 
74 1.05445e-14 1.48669e-14 -2.90216e-15 
78 1.74662e-14 2.77318e-14 -1.7327e-14 
82 2.56697e-15 1.09447e-14 5.99708e-15 
86 6.79675e-15 1.93395e-14 4.79449e-15 
90 3.09494e-15 1.07329e-14 -2.70421e-15 
94 1.52998e-15 8.09097e-15 -4.78061e-15 
98 -8.63269e-16 6.11394e-15 4.72242e-15 
102 -3.22915e-15 1.8511e-14 3.83036e-15 
106 -1.67897e-15 1.19942e-14 -2.22332e-15 
110 -6.02232e-16 8.00848e-15 -5.45925e-15 
114 -6.9461e-16 1.54283e-15 1.59552e-15 
118 -1.74446e-15 2.50265e-15 7.729e-16 
122 -1.03989e-15 1.42516e-15 -9.77381e-17 
126 -3.04973e-15 7.81313e-15 -4.65835e-15 
130 1.70091e-14 1.58946e-14 2.29427e-14 
134 1.29432e-14 4.03419e-15 1.87441e-14 
