ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 1.26628e-14 1.03536e-14 9.07584e-15 
5 1.82035e-14 1.21685e-14 2.35598e-15 
9 4.11511e-14 3.03504e-14 -1.20599e-14 
13 2.42267e-14 2.09775e-14 -1.86646e-14 
17 1.1198e-14 -5.49702e-17 7.65391e-15 
21 8.0255e-14 1.13866e-14 1.81256e-14 
25 4.57499e-14 1.12338e-15 -7.56893e-15 
29 3.95637e-14 1.06417e-14 -3.10697e-14 
33 1.87637e-14 -4.63231e-15 1.12784e-14 
37 9.1688e-14 -2.05317e-14 1.79816e-14 
41 4.67656e-14 -6.22716e-15 -1.17509e-14 
45 3.27789e-14 -9.58745e-15 -2.11645e-14 
49 3.78331e-14 -1.7174e-14 2.16446e-14 
53 4.11412e-14 -2.46335e-14 -1.76408e-16 
57 2.63006e-14 -1.29475e-14 1.53013e-15 
61 3.24121e-14 -1.71886e-14 -1.27382e-14 
65 9.82201e-15 1.16609e-14 5.88689e-15 
69 8.02107e-15 9.51804e-15 4.75177e-15 
73 6.1903e-15 7.44461e-15 1.06961e-15 
77 6.01486e-15 9.37129e-15 -4.06973e-15 
81 -1.47534e-15 3.29691e-15 7.98006e-15 
85 3.61809e-15 9.93323e-15 4.7774e-15 
89 6.38003e-15 3.02082e-14 -9.41091e-15 
93 4.16308e-15 9.76913e-15 -9.05247e-15 
97 -1.61218e-15 9.48871e-15 6.87017e-15 
101 -2.83466e-15 1.22692e-14 9.22847e-16 
105 -3.12518e-15 1.39081e-14 -6.25745e-15 
109 -2.40923e-15 1.30366e-14 -9.69375e-15 
113 -1.12535e-15 3.62834e-15 1.12203e-15 
117 0 0 0 
121 -3.41565e-16 5.04705e-15 -2.87676e-15 
125 -3.88643e-15 8.51712e-15 -3.64697e-15 
129 1.74576e-14 3.06695e-14 3.79073e-14 
133 1.01347e-14 5.59019e-15 1.39209e-14 
137 1.74359e-14 -6.30046e-15 2.04453e-14 
141 9.35867e-15 -1.0975e-14 1.405e-14 
145 2.31153e-15 9.12614e-15 6.76631e-15 
149 5.61125e-15 3.16934e-15 1.83473e-14 
153 9.37379e-15 -6.21548e-15 3.01461e-14 
157 -8.6819e-16 -8.45538e-16 3.04176e-15 
161 1.04099e-16 3.32426e-16 4.00124e-15 
165 -1.77382e-15 1.92233e-15 1.40745e-14 
169 -1.84352e-15 -3.30936e-15 1.92781e-14 
173 0 0 0 
177 -1.10435e-15 2.40332e-15 1.78495e-15 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 5.23149e-14 3.55965e-14 3.45778e-14 
6 3.52648e-14 2.99661e-14 1.18195e-14 
10 4.10482e-14 2.93089e-14 -6.85431e-15 
14 3.04258e-14 2.03109e-14 -1.81236e-14 
18 2.46791e-14 3.21659e-15 1.09356e-14 
22 5.40696e-14 1.39736e-14 1.47603e-14 
26 7.18615e-14 1.53422e-14 -3.14053e-15 
30 1.86216e-14 3.6503e-15 -1.05318e-14 
34 1.30565e-14 -6.11609e-15 9.04377e-15 
38 5.38619e-14 -9.62466e-15 1.52487e-14 
42 4.99207e-14 -1.00178e-14 -9.63471e-15 
46 3.13045e-14 -7.2513e-15 -2.37903e-14 
50 1.61238e-14 -9.77252e-15 1.01651e-14 
54 2.24509e-14 -8.9882e-15 5.5606e-15 
58 2.43616e-14 -1.63027e-14 -6.9641e-15 
62 1.91869e-14 -1.01452e-14 -2.13456e-14 
66 5.02709e-15 6.36013e-15 4.47192e-15 
70 1.6133e-14 1.83613e-14 4.88679e-15 
74 2.68907e-15 2.23971e-15 -6.54096e-16 
78 1.29584e-14 2.03872e-14 -7.68682e-15 
82 5.93651e-15 8.65378e-15 8.05212e-15 
86 5.57731e-15 1.79712e-14 6.66728e-15 
90 3.76824e-15 1.54332e-14 -2.88e-15 
94 4.32747e-16 5.10901e-15 -4.86262e-15 
98 1.45608e-15 9.0026e-15 4.70327e-15 
102 -3.69179e-15 1.58469e-14 3.48645e-15 
106 -9.23429e-16 5.15037e-15 -4.70386e-15 
110 1.51883e-15 1.02322e-14 -8.85643e-15 
114 -2.99373e-15 3.00037e-15 3.80172e-15 
118 -2.57632e-15 6.336e-15 1.8296e-15 
122 0 0 0 
126 0 0 0 
130 1.33222e-14 1.16915e-14 1.78126e-14 
134 7.10665e-15 1.87853e-15 1.27206e-14 
138 1.54832e-14 -3.53838e-15 1.11981e-14 
142 1.97752e-14 -1.91435e-14 3.99822e-14 
146 1.01673e-15 1.36175e-15 3.87349e-15 
150 7.43748e-15 2.35445e-15 2.27575e-14 
154 1.36026e-14 -5.17972e-15 4.31594e-14 
158 0 0 0 
