ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 1.95058e-14 1.09433e-14 1.56416e-14 
5 2.74184e-14 1.64662e-14 6.3851e-15 
9 2.53269e-14 1.85691e-14 -7.17437e-15 
13 1.11916e-14 7.39923e-15 -7.93934e-15 
17 1.87967e-14 2.97832e-15 1.31887e-14 
21 5.12513e-14 1.16787e-14 1.36877e-14 
25 5.70868e-14 1.36227e-14 -1.4031e-14 
29 2.30827e-14 6.18955e-15 -1.55256e-14 
33 3.35717e-14 -6.28596e-15 2.06437e-14 
37 4.5509e-14 -9.52617e-15 1.00781e-14 
41 5.21238e-14 -1.12848e-14 -1.10642e-14 
45 2.26199e-14 -5.74214e-15 -1.44098e-14 
49 4.14825e-14 -2.27638e-14 2.26376e-14 
53 3.89736e-14 -2.3754e-14 6.99911e-15 
57 2.62821e-14 -1.66287e-14 -4.32274e-15 
61 2.6227e-14 -1.67293e-14 -1.40014e-14 
65 1.4176e-14 2.01793e-14 1.37182e-14 
69 1.0259e-14 1.44645e-14 3.64925e-15 
73 1.11376e-14 1.40001e-14 -3.47767e-15 
77 1.10048e-14 1.20074e-14 -1.08462e-14 
81 3.77261e-15 1.298e-14 9.00121e-15 
85 5.69627e-15 2.08755e-14 4.33563e-15 
89 8.06294e-15 2.47785e-14 -6.2918e-15 
93 4.90394e-15 1.45775e-14 -9.77415e-15 
97 -8.46774e-16 7.96343e-15 5.02877e-15 
101 -9.42555e-16 8.85031e-15 1.57865e-15 
105 -1.34385e-15 1.01303e-14 -2.80519e-15 
109 -3.86959e-16 5.3154e-15 -3.51913e-15 
113 -2.91792e-15 8.30936e-15 5.07135e-15 
117 -1.59345e-15 3.85309e-15 5.39263e-16 
121 -1.63363e-15 3.35429e-15 -3.83622e-16 
125 -1.22767e-15 2.60929e-15 -2.24825e-15 
129 9.95908e-15 1.01962e-14 1.36185e-14 
133 1.65982e-14 5.111e-15 2.28663e-14 
137 1.49515e-14 -4.21002e-15 1.86273e-14 
141 8.81469e-15 -8.66886e-15 9.51593e-15 
145 2.85845e-15 7.49985e-15 9.80403e-15 
149 6.42034e-15 5.78533e-15 2.23134e-14 
153 7.57062e-15 -7.39142e-15 3.26487e-14 
157 3.45851e-15 -6.38153e-15 8.62796e-15 
161 -1.37442e-15 4.32194e-15 8.16875e-15 
165 -1.41712e-15 2.98393e-15 1.3309e-14 
169 -1.32723e-15 -2.53561e-15 1.01396e-14 
173 -1.33041e-15 -6.51773e-15 8.87002e-15 
177 -2.55709e-15 3.60345e-15 6.6227e-15 
181 -2.29418e-15 9.86061e-16 5.5339e-15 
185 -2.11493e-15 -5.9104e-16 3.31505e-15 
189 -1.61987e-15 -1.43255e-15 2.46499e-15 
2 2.04679e-14 1.44772e-14 1.25884e-14 
6 2.62585e-14 1.80337e-14 4.57206e-15 
10 2.76812e-14 1.82314e-14 -4.77205e-15 
14 4.45384e-14 2.46794e-14 -2.33973e-14 
18 2.42347e-14 4.43775e-15 1.54018e-14 
22 5.24842e-14 1.17872e-14 1.10285e-14 
26 4.7683e-14 1.01478e-14 -9.3132e-15 
30 3.51528e-14 6.58682e-15 -2.03627e-14 
34 2.65063e-14 -7.05202e-15 1.73866e-14 
38 5.40942e-14 -1.32997e-14 1.26875e-14 
42 5.24882e-14 -1.17988e-14 -1.0847e-14 
46 2.21024e-14 -4.99679e-15 -1.60263e-14 
50 1.18909e-14 -9.54601e-15 9.38028e-15 
54 3.2896e-14 -2.33956e-14 7.06876e-15 
58 2.97685e-14 -1.79515e-14 -5.91306e-15 
62 2.256e-14 -1.46868e-14 -1.55633e-14 
66 1.91133e-14 2.17639e-14 1.3127e-14 
70 1.39263e-14 1.75422e-14 3.55506e-15 
74 1.59721e-14 2.17799e-14 -4.64616e-15 
78 1.64125e-14 2.30748e-14 -1.39336e-14 
82 4.4398e-15 1.25435e-14 8.71686e-15 
86 6.49916e-15 2.35751e-14 5.05338e-15 
90 5.39601e-15 1.93634e-14 -3.4603e-15 
94 2.96178e-15 9.6124e-15 -7.04177e-15 
98 -1.53347e-15 6.23469e-15 4.49014e-15 
102 -1.92108e-15 8.59142e-15 1.73721e-15 
106 -1.20258e-15 9.57877e-15 -1.77452e-15 
110 -1.65394e-15 8.24066e-15 -5.14823e-15 
114 -7.48966e-16 9.23057e-16 9.10427e-16 
118 -8.03296e-16 2.37523e-15 5.19294e-16 
122 -1.83175e-15 4.25189e-15 -1.93136e-15 
126 -1.47498e-15 2.6856e-15 -1.85316e-15 
130 1.35333e-14 1.17272e-14 1.6806e-14 
134 1.77365e-14 3.35179e-15 2.33138e-14 
