ITEM: TIMESTEP
2500
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
5000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.11442e-10 6.59699e-11 7.03846e-11 
5 2.19355e-10 1.34011e-10 5.68537e-11 
9 2.62158e-10 1.76251e-10 -5.28346e-11 
13 1.23195e-10 8.70106e-11 -8.44702e-11 
17 2.06728e-10 4.22098e-11 1.40494e-10 
21 5.04984e-10 9.93488e-11 1.13086e-10 
25 5.8083e-10 1.16636e-10 -1.30067e-10 
29 2.64343e-10 6.78153e-11 -1.82013e-10 
33 2.15789e-10 -4.17562e-11 1.28481e-10 
37 5.02214e-10 -1.02638e-10 1.11011e-10 
41 5.53925e-10 -1.24063e-10 -1.10407e-10 
45 2.24586e-10 -5.66307e-11 -1.37114e-10 
49 1.19645e-10 -6.5143e-11 7.02769e-11 
53 2.13744e-10 -1.30765e-10 3.64245e-11 
57 2.48932e-10 -1.5677e-10 -4.7419e-11 
61 1.29577e-10 -9.09071e-11 -8.39307e-11 
65 5.10404e-11 6.96899e-11 5.56487e-11 
69 1.1664e-10 1.65879e-10 3.60456e-11 
73 1.6445e-10 2.01702e-10 -5.13912e-11 
77 9.46003e-11 9.02371e-11 -8.25363e-11 
81 2.46165e-11 9.3068e-11 6.76606e-11 
85 6.37416e-11 1.95168e-10 4.55687e-11 
89 8.28409e-11 2.61139e-10 -6.23131e-11 
93 2.76085e-11 9.73916e-11 -7.37158e-11 
97 -4.15423e-12 4.70118e-11 2.72547e-11 
101 -7.13415e-12 6.50708e-11 1.17809e-11 
105 -1.12933e-11 7.53261e-11 -1.79355e-11 
109 -1.32715e-11 5.8692e-11 -3.33544e-11 
113 -8.1114e-12 2.16339e-11 1.28339e-11 
117 -1.21372e-11 2.0624e-11 6.3019e-12 
121 -1.28272e-11 2.21122e-11 -1.54874e-12 
125 -1.24427e-11 1.5011e-11 -9.05238e-12 
129 6.92291e-11 7.47096e-11 9.93401e-11 
133 9.30706e-11 3.95269e-11 1.37806e-10 
137 1.76507e-10 -6.23323e-11 2.2532e-10 
141 9.33693e-11 -7.63354e-11 9.23682e-11 
145 2.91302e-11 5.61136e-11 8.1289e-11 
149 6.21595e-11 4.79614e-11 2.13583e-10 
153 7.87258e-11 -5.66541e-11 2.41366e-10 
157 3.40937e-11 -6.07468e-11 8.59495e-11 
161 -6.0639e-12 3.36832e-11 6.02051e-11 
165 -1.03364e-11 1.86683e-11 1.05802e-10 
169 -1.86426e-11 -2.40904e-11 1.07649e-10 
173 -1.08275e-11 -4.45054e-11 6.40047e-11 
177 -5.44712e-12 6.93397e-12 1.09767e-11 
181 -8.90362e-12 6.62905e-12 2.27802e-11 
185 -7.75619e-12 -4.91759e-12 1.76037e-11 
189 -8.471e-12 -6.75719e-12 1.43896e-11 
2 1.11414e-10 7.91367e-11 6.93694e-11 
6 2.18837e-10 1.51681e-10 4.4163e-11 
10 1.93023e-10 1.11709e-10 -3.75511e-11 
14 1.06108e-10 6.27816e-11 -5.69438e-11 
18 2.65748e-10 5.67429e-11 1.63248e-10 
22 6.27537e-10 1.40459e-10 1.1517e-10 
26 4.94966e-10 9.06689e-11 -1.07743e-10 
30 2.29269e-10 4.4795e-11 -1.3251e-10 
34 2.42294e-10 -5.4517e-11 1.56281e-10 
38 5.30868e-10 -1.11258e-10 1.02243e-10 
42 5.27288e-10 -9.34631e-11 -1.27998e-10 
46 2.06313e-10 -3.69135e-11 -1.45465e-10 
50 1.18477e-10 -8.61394e-11 8.39622e-11 
54 2.7466e-10 -1.85705e-10 6.48547e-11 
58 2.35182e-10 -1.3286e-10 -5.19903e-11 
62 1.48435e-10 -9.23598e-11 -1.10857e-10 
66 7.12052e-11 8.63842e-11 5.57376e-11 
70 1.171e-10 1.41454e-10 2.45816e-11 
74 7.71984e-11 1.19305e-10 -2.09568e-11 
78 3.95052e-11 6.11937e-11 -3.59296e-11 
82 4.84726e-11 1.41397e-10 9.17882e-11 
86 6.41651e-11 2.02714e-10 4.63196e-11 
90 4.92286e-11 1.97958e-10 -4.12951e-11 
94 3.27668e-11 1.09922e-10 -7.08143e-11 
98 -1.20305e-11 7.559e-11 5.2584e-11 
102 -1.41532e-11 9.36801e-11 2.82624e-11 
106 -1.13104e-11 8.48795e-11 -2.4659e-11 
110 1.05985e-12 4.9364e-11 -3.34394e-11 
114 -1.16464e-11 1.6459e-11 1.51288e-11 
118 -1.75322e-11 2.94923e-11 7.43553e-12 
122 -1.95324e-11 3.65729e-11 -7.743e-12 
126 -9.73508e-12 1.67463e-11 -1.35808e-11 
130 8.53735e-11 6.5627e-11 9.52939e-11 
134 9.76099e-11 2.49489e-11 1.32912e-10 
