ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.28872e-10 7.94907e-11 9.22003e-11 
5 2.58846e-10 1.61194e-10 6.1434e-11 
9 2.56374e-10 1.73366e-10 -6.2039e-11 
13 1.26069e-10 9.24031e-11 -9.4558e-11 
17 2.06235e-10 4.03842e-11 1.37646e-10 
21 5.51711e-10 1.1089e-10 1.20779e-10 
25 5.87733e-10 1.28715e-10 -1.25924e-10 
29 2.69473e-10 6.35662e-11 -1.80466e-10 
33 2.04387e-10 -4.13842e-11 1.22802e-10 
37 4.85714e-10 -9.74527e-11 9.88428e-11 
41 5.44798e-10 -1.211e-10 -1.09548e-10 
45 2.63926e-10 -6.39297e-11 -1.60453e-10 
49 1.23255e-10 -6.65363e-11 6.66849e-11 
53 2.18902e-10 -1.31982e-10 4.16633e-11 
57 2.11297e-10 -1.432e-10 -4.12782e-11 
61 1.24818e-10 -8.98481e-11 -7.53803e-11 
65 6.85425e-11 9.58609e-11 7.29731e-11 
69 1.24521e-10 1.74938e-10 4.44012e-11 
73 1.53435e-10 1.92415e-10 -4.82537e-11 
77 9.28389e-11 1.03541e-10 -8.56022e-11 
81 2.72596e-11 9.74092e-11 7.07716e-11 
85 5.39745e-11 1.89884e-10 4.52842e-11 
89 6.76208e-11 2.16156e-10 -5.18246e-11 
93 3.98376e-11 1.19293e-10 -8.48058e-11 
97 -4.26107e-12 4.79899e-11 2.90884e-11 
101 -1.1616e-11 8.76957e-11 1.84598e-11 
105 -1.53837e-11 9.58237e-11 -2.16182e-11 
109 -9.33446e-12 5.45932e-11 -3.54445e-11 
113 -6.94161e-12 1.554e-11 8.56534e-12 
117 -1.09449e-11 2.12502e-11 4.28996e-12 
121 -1.34578e-11 2.0809e-11 -4.87017e-12 
125 -8.26891e-12 1.402e-11 -9.5847e-12 
129 6.44417e-11 6.51063e-11 8.881e-11 
133 1.29085e-10 4.57965e-11 1.81016e-10 
137 1.52059e-10 -5.13301e-11 1.96245e-10 
141 9.89768e-11 -9.11097e-11 1.11797e-10 
145 2.58808e-11 6.73129e-11 9.49049e-11 
149 5.23598e-11 4.44945e-11 1.8839e-10 
153 6.79829e-11 -5.31606e-11 2.22887e-10 
157 3.73343e-11 -7.99602e-11 1.12457e-10 
161 -4.5994e-12 2.86821e-11 4.63134e-11 
165 -1.09588e-11 1.88887e-11 8.83911e-11 
169 -1.39007e-11 -1.99628e-11 8.86419e-11 
173 -6.70555e-12 -3.39132e-11 5.05047e-11 
177 -6.07947e-12 8.79511e-12 1.32493e-11 
181 -1.03319e-11 5.13196e-12 2.16797e-11 
185 -1.22544e-11 -3.18425e-12 1.91994e-11 
189 -9.16439e-12 -9.61201e-12 1.50929e-11 
2 1.25005e-10 8.85063e-11 7.42025e-11 
6 2.09378e-10 1.40246e-10 4.13708e-11 
10 2.05391e-10 1.21319e-10 -4.03946e-11 
14 1.26854e-10 6.71911e-11 -6.57907e-11 
18 2.67766e-10 6.63835e-11 1.65368e-10 
22 5.31568e-10 1.22954e-10 1.04909e-10 
26 4.77516e-10 9.47532e-11 -9.55159e-11 
30 2.17277e-10 4.05472e-11 -1.28776e-10 
34 2.7003e-10 -6.76766e-11 1.84683e-10 
38 5.6867e-10 -1.28519e-10 1.28106e-10 
42 5.39714e-10 -1.0763e-10 -1.17722e-10 
46 2.13129e-10 -4.13946e-11 -1.48006e-10 
50 1.24946e-10 -9.25261e-11 9.53215e-11 
54 2.6005e-10 -1.76265e-10 6.41465e-11 
58 2.59558e-10 -1.58415e-10 -6.11778e-11 
62 1.24415e-10 -7.4654e-11 -8.82953e-11 
66 7.71704e-11 9.19084e-11 5.82317e-11 
70 1.23422e-10 1.57298e-10 3.42904e-11 
74 9.95812e-11 1.42887e-10 -2.76949e-11 
78 5.42084e-11 8.16451e-11 -4.70368e-11 
82 3.85189e-11 1.1465e-10 7.58162e-11 
86 6.15448e-11 2.04658e-10 4.35824e-11 
90 4.75356e-11 1.7102e-10 -3.42996e-11 
94 2.38111e-11 8.55567e-11 -5.60681e-11 
98 -8.12285e-12 5.60398e-11 3.93699e-11 
102 -1.38975e-11 1.00018e-10 2.35145e-11 
106 -1.13892e-11 1.00108e-10 -2.27735e-11 
110 -4.50975e-12 5.01262e-11 -3.64476e-11 
114 -1.25916e-11 1.9683e-11 1.52097e-11 
118 -1.57374e-11 2.52744e-11 5.4702e-12 
122 -1.40893e-11 2.45332e-11 -6.43941e-12 
126 -9.42128e-12 1.81603e-11 -1.39745e-11 
130 7.86136e-11 6.13247e-11 9.40186e-11 
134 1.21276e-10 3.19152e-11 1.55045e-10 
