ITEM: TIMESTEP
2500
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
5000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.17044e-10 6.80103e-11 8.59574e-11 
5 2.88706e-10 1.89645e-10 5.70127e-11 
9 2.6886e-10 1.92809e-10 -6.13515e-11 
13 1.15113e-10 8.85652e-11 -8.07044e-11 
17 1.74311e-10 4.14297e-11 1.28884e-10 
21 4.64945e-10 9.14804e-11 9.86219e-11 
25 5.69837e-10 1.27358e-10 -1.37939e-10 
29 2.07291e-10 4.24251e-11 -1.45464e-10 
33 1.61861e-10 -3.75542e-11 8.41286e-11 
37 4.60574e-10 -9.21733e-11 7.86214e-11 
41 5.4472e-10 -1.31611e-10 -9.12929e-11 
45 2.67618e-10 -8.55624e-11 -1.78452e-10 
49 9.88278e-11 -5.09268e-11 5.10973e-11 
53 1.72369e-10 -1.09762e-10 3.02068e-11 
57 2.24602e-10 -1.57075e-10 -3.98336e-11 
61 9.87336e-11 -7.83686e-11 -6.09358e-11 
65 4.94364e-11 6.93715e-11 6.58763e-11 
69 9.61158e-11 1.36653e-10 3.9486e-11 
73 1.9369e-10 2.37087e-10 -6.29517e-11 
77 1.50718e-10 1.71375e-10 -1.37367e-10 
81 1.08347e-11 9.18668e-11 6.63931e-11 
85 3.82749e-11 1.93615e-10 4.34943e-11 
89 8.95426e-11 2.41795e-10 -6.76739e-11 
93 5.06892e-11 1.3707e-10 -8.96598e-11 
97 -9.34716e-12 4.17448e-11 1.85998e-11 
101 -1.02849e-11 7.8041e-11 1.57832e-11 
105 -5.79047e-12 7.73603e-11 -1.6413e-11 
109 -1.45713e-11 6.66097e-11 -4.02389e-11 
113 0 0 0 
117 -1.12041e-11 2.14698e-11 2.19846e-12 
121 -1.41143e-11 3.61009e-11 -8.43335e-12 
125 -1.01129e-11 2.46065e-11 -1.22827e-11 
129 8.70056e-11 9.51746e-11 1.13358e-10 
133 1.75218e-10 5.63546e-11 2.3884e-10 
137 1.41232e-10 -5.00609e-11 1.77744e-10 
141 9.64785e-11 -8.40285e-11 1.07434e-10 
145 1.94085e-11 6.71825e-11 9.34144e-11 
149 7.6181e-11 6.01326e-11 2.05096e-10 
153 8.32423e-11 -6.63197e-11 2.90217e-10 
157 4.10274e-11 -7.35956e-11 9.24073e-11 
161 -4.53826e-12 2.08964e-11 5.96219e-11 
165 -5.05891e-12 1.66539e-11 1.13116e-10 
169 -2.48788e-11 -1.96276e-11 9.77987e-11 
173 -1.88885e-11 -8.69859e-11 1.29329e-10 
177 -2.02264e-12 -2.07308e-13 6.81766e-12 
181 -1.13377e-11 7.69128e-12 1.80992e-11 
185 -9.88608e-12 -4.22715e-12 1.99506e-11 
189 -1.4338e-11 -1.24926e-11 2.72741e-11 
2 1.64535e-10 1.08302e-10 8.24191e-11 
6 1.41272e-10 9.06596e-11 2.25849e-11 
10 2.15827e-10 1.22202e-10 -3.52498e-11 
14 1.4391e-10 6.57282e-11 -6.00393e-11 
18 2.76032e-10 6.32307e-11 1.48281e-10 
22 4.76117e-10 1.15746e-10 9.37103e-11 
26 5.1493e-10 9.87601e-11 -9.54837e-11 
30 2.17633e-10 3.72842e-11 -1.15274e-10 
34 2.41498e-10 -6.50817e-11 1.64846e-10 
38 5.2521e-10 -1.21009e-10 1.19039e-10 
42 5.46106e-10 -9.03179e-11 -1.24855e-10 
46 2.34219e-10 -2.275e-11 -1.42201e-10 
50 1.38688e-10 -1.02511e-10 8.51514e-11 
54 2.69203e-10 -1.81131e-10 4.68398e-11 
58 2.34903e-10 -1.64352e-10 -5.00021e-11 
62 1.46118e-10 -1.02038e-10 -1.14334e-10 
66 8.74936e-11 1.16577e-10 4.8544e-11 
70 9.06544e-11 1.11678e-10 2.15903e-11 
74 1.34742e-10 2.03217e-10 -3.56806e-11 
78 4.25473e-11 8.16284e-11 -4.48886e-11 
82 3.45434e-11 7.9009e-11 5.65567e-11 
86 7.03106e-11 2.54742e-10 5.71759e-11 
90 5.08127e-11 1.55714e-10 -3.30431e-11 
94 2.66551e-11 7.55384e-11 -3.70663e-11 
98 -3.20082e-12 3.66767e-11 1.95769e-11 
102 -2.5419e-11 1.04607e-10 3.73302e-11 
106 -1.70521e-11 9.17223e-11 -2.32256e-11 
110 -1.0124e-11 1.02066e-10 -8.38994e-11 
114 -8.89983e-12 2.07637e-11 2.21697e-11 
118 -4.86628e-12 7.68001e-12 2.36985e-12 
122 -8.84072e-12 2.0321e-11 -3.86843e-12 
126 -1.63712e-11 4.09375e-11 -3.18132e-11 
130 8.61297e-11 5.7053e-11 1.07651e-10 
134 1.50865e-10 3.65948e-11 1.99352e-10 
138 1.72866e-10 -5.6032e-11 2.32001e-10 
