ITEM: TIMESTEP
5000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_blocks[1] f_f_drag_blocks[2] f_f_drag_blocks[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
6000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_blocks[1] f_f_drag_blocks[2] f_f_drag_blocks[3] 
1 1.1653e-10 7.47603e-11 9.01066e-11 
5 2.47256e-10 1.48347e-10 6.5157e-11 
9 3.62521e-10 2.5257e-10 -9.67761e-11 
13 1.32419e-10 9.01965e-11 -1.1343e-10 
17 2.14503e-10 4.83017e-11 1.42995e-10 
21 4.81589e-10 8.62602e-11 9.554e-11 
25 5.60798e-10 1.194e-10 -1.22801e-10 
29 3.20489e-10 8.19485e-11 -2.24307e-10 
33 2.27797e-10 -4.20432e-11 1.52387e-10 
37 3.63618e-10 -6.54468e-11 7.02237e-11 
41 5.01488e-10 -1.13927e-10 -9.56291e-11 
45 2.82571e-10 -6.40097e-11 -1.68292e-10 
49 1.45733e-10 -8.02905e-11 7.78656e-11 
53 2.20322e-10 -1.35111e-10 3.58573e-11 
57 2.91729e-10 -1.9375e-10 -4.70823e-11 
61 1.68206e-10 -1.14419e-10 -1.01402e-10 
65 6.68342e-11 9.57083e-11 7.23106e-11 
69 1.31395e-10 1.90165e-10 4.3913e-11 
73 1.99239e-10 2.35849e-10 -6.10909e-11 
77 9.25511e-11 9.9468e-11 -8.04334e-11 
81 5.21919e-11 1.18526e-10 8.20667e-11 
85 6.78544e-11 2.14084e-10 5.74026e-11 
89 7.56632e-11 2.63772e-10 -5.74336e-11 
93 4.54507e-11 1.34784e-10 -9.4705e-11 
97 -7.73754e-12 2.45841e-11 1.30308e-11 
101 -8.54138e-12 6.71912e-11 1.78433e-11 
105 -1.39811e-11 1.16425e-10 -1.54473e-11 
109 -3.28221e-12 4.05394e-11 -2.79242e-11 
113 -4.39136e-12 7.38687e-12 4.47742e-12 
117 -1.62452e-11 2.82284e-11 4.42059e-12 
121 -8.61554e-12 2.38503e-11 -6.77352e-12 
125 -1.01369e-11 1.65124e-11 -8.61471e-12 
129 4.06045e-11 4.58908e-11 5.66437e-11 
133 9.33394e-11 4.35845e-11 1.37098e-10 
137 1.16971e-10 -4.43787e-11 1.76949e-10 
141 1.33066e-10 -1.26196e-10 1.31412e-10 
145 2.28097e-11 6.14809e-11 8.65204e-11 
149 6.09135e-11 3.62309e-11 2.04348e-10 
153 6.50316e-11 -5.94256e-11 2.17157e-10 
157 2.57161e-11 -5.5931e-11 8.3233e-11 
161 3.77733e-13 3.34851e-11 5.12516e-11 
165 -9.94191e-12 2.60689e-11 1.19618e-10 
169 -1.35654e-11 -2.89803e-11 1.07528e-10 
173 -9.48467e-12 -2.66178e-11 3.84865e-11 
177 -5.09491e-12 9.46128e-12 1.44943e-11 
181 -8.82906e-12 -4.57974e-13 1.52146e-11 
185 -2.1635e-11 -4.31229e-12 2.20063e-11 
189 -9.56421e-12 -1.60509e-11 1.902e-11 
2 1.4428e-10 1.08576e-10 8.64125e-11 
6 1.86087e-10 1.28978e-10 4.18419e-11 
10 2.50906e-10 1.58642e-10 -5.45496e-11 
14 1.17487e-10 7.02143e-11 -6.07908e-11 
18 2.02871e-10 3.67519e-11 1.14946e-10 
22 4.7923e-10 1.0719e-10 1.12789e-10 
26 4.68505e-10 8.30785e-11 -8.23046e-11 
30 2.35833e-10 4.58791e-11 -1.38642e-10 
34 2.61138e-10 -6.03327e-11 1.59116e-10 
38 4.2456e-10 -9.84052e-11 1.02571e-10 
42 4.02979e-10 -7.87614e-11 -7.70368e-11 
46 1.75887e-10 -3.3688e-11 -1.14826e-10 
50 8.87295e-11 -7.32028e-11 7.23344e-11 
54 2.50137e-10 -1.7587e-10 7.37779e-11 
58 2.59853e-10 -1.37166e-10 -6.64448e-11 
62 1.32434e-10 -8.24614e-11 -9.86647e-11 
66 4.19875e-11 4.74669e-11 3.31506e-11 
70 1.05386e-10 1.38416e-10 3.13834e-11 
74 1.04322e-10 1.36281e-10 -2.76827e-11 
78 7.44272e-11 1.03426e-10 -5.78466e-11 
82 4.38595e-11 1.23247e-10 8.06228e-11 
86 6.74651e-11 2.05031e-10 2.67569e-11 
90 5.53231e-11 1.96243e-10 -3.69656e-11 
94 2.77658e-11 7.49547e-11 -4.8699e-11 
98 -4.87436e-12 5.4156e-11 4.72674e-11 
102 -1.74606e-11 8.78388e-11 2.17442e-11 
106 -1.5422e-11 9.60721e-11 -2.49061e-11 
110 -3.97967e-12 3.71926e-11 -2.9323e-11 
114 -9.94725e-12 1.3164e-11 1.13039e-11 
118 -1.21788e-11 1.72144e-11 3.48054e-12 
122 -1.19358e-11 1.79485e-11 -2.03327e-12 
126 -1.81811e-11 2.83554e-11 -1.71339e-11 
130 1.1455e-10 8.3683e-11 1.37742e-10 
134 1.41632e-10 5.06482e-11 1.72283e-10 
