ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
26000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 1.20665e-10 7.56884e-11 1.00889e-10 
5 4.37456e-10 2.56057e-10 6.47542e-11 
9 2.65465e-10 1.54835e-10 -8.25907e-11 
13 1.86081e-10 1.07776e-10 -1.93451e-10 
17 4.54936e-10 1.94639e-10 3.90475e-10 
21 7.18572e-10 2.27556e-10 2.29857e-10 
25 7.43358e-10 -2.23817e-11 -1.34494e-10 
29 5.73271e-10 1.28375e-10 -3.43087e-10 
33 2.46961e-10 -2.87742e-11 1.29946e-10 
37 5.16545e-10 -2.83712e-11 7.32855e-11 
41 8.625e-10 -2.05079e-10 -2.11498e-10 
45 5.07293e-10 -5.74368e-11 -3.85192e-10 
49 0 0 0 
53 0 0 0 
57 1.40408e-10 -1.11781e-10 5.00858e-12 
61 1.50905e-10 -1.56793e-10 -1.11881e-10 
65 0 0 0 
69 1.48364e-10 3.21234e-10 1.4039e-10 
73 1.83727e-10 1.73921e-10 -1.85903e-11 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 7.39395e-12 1.10719e-10 -2.85134e-12 
93 8.07424e-11 6.13704e-11 -1.92386e-11 
97 0 0 0 
101 0 0 0 
105 -4.81301e-11 3.77391e-10 -1.12683e-11 
109 2.48479e-11 6.79231e-11 -4.25221e-11 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 2.60048e-10 2.0973e-10 2.09848e-10 
133 0 0 0 
137 0 0 0 
141 2.19101e-10 -1.40734e-10 1.49261e-10 
145 6.7629e-11 1.16147e-10 1.68269e-10 
149 6.64915e-11 2.68513e-11 3.48528e-10 
153 5.41401e-12 -3.00608e-11 1.80732e-10 
157 0 0 0 
161 1.76058e-11 3.4247e-11 1.32302e-10 
165 -6.0132e-11 6.50965e-11 3.1496e-10 
169 1.20606e-11 -2.98567e-11 9.50445e-11 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 -9.25413e-11 -3.46513e-11 9.25724e-11 
189 0 0 0 
2 0 0 0 
6 1.33964e-10 4.79654e-11 7.66249e-11 
10 0 0 0 
14 1.05927e-10 6.26723e-11 -1.60016e-12 
18 1.90102e-10 2.98829e-12 7.42641e-11 
22 0 0 0 
26 2.3361e-10 1.01233e-11 2.43512e-12 
30 8.36486e-11 1.50739e-11 -2.26142e-11 
34 4.15291e-11 -3.03849e-11 5.927e-11 
38 9.05743e-10 -2.45692e-10 1.95052e-10 
42 2.77737e-10 -1.06764e-10 -5.38927e-11 
46 1.00698e-10 6.82687e-11 -8.72759e-11 
50 1.50987e-10 -1.29544e-10 1.15107e-10 
54 4.64045e-10 -2.67857e-10 9.60537e-11 
58 1.39291e-10 -4.15655e-11 -5.47044e-11 
62 1.79849e-10 -2.00994e-10 -2.07549e-10 
66 0 0 0 
70 1.32901e-10 2.80538e-10 7.51281e-11 
74 1.73208e-10 2.96838e-10 -5.03139e-11 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 1.80008e-10 4.95065e-10 2.35723e-12 
94 0 0 0 
98 0 0 0 
102 -8.90029e-11 1.82294e-10 4.80155e-11 
106 -3.97914e-11 1.39037e-10 -3.4098e-11 
110 -6.80579e-11 1.73676e-10 -1.10401e-10 
114 0 0 0 
118 -2.58114e-13 3.39355e-11 2.00062e-11 
122 -1.84829e-10 1.30942e-10 -8.03518e-11 
126 0 0 0 
130 1.01706e-10 1.28467e-10 1.58547e-10 
134 1.33203e-10 6.4326e-11 2.07825e-10 
138 0 0 0 
142 1.01627e-10 -1.06787e-10 1.95268e-10 
146 6.53067e-11 8.35148e-12 1.11153e-11 
150 1.66561e-11 -7.16965e-11 1.14791e-10 
154 2.25263e-11 -3.71153e-11 3.56461e-11 
158 1.19393e-10 -2.38282e-10 3.05939e-10 
162 2.03936e-11 3.69928e-11 7.13581e-11 
166 5.79141e-12 2.20524e-11 3.47865e-11 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 7.96141e-11 -3.04892e-10 1.23323e-10 
71 2.31538e-10 -3.29471e-10 1.01755e-10 
75 2.67681e-10 -8.68084e-11 9.96849e-12 
79 8.96528e-11 -5.91844e-11 -1.09047e-10 
83 1.14387e-10 -2.09771e-10 2.21003e-10 
87 0 0 0 
91 6.04173e-11 -4.10249e-10 -1.35182e-10 
