# Block-wise total droplet force during steady-state sampling window
# Timestep  Fx_total_N  Fy_total_N  Fz_total_N
5100 1.27438e-08 1.48066e-09 -7.20884e-10
5200 1.12937e-08 -9.05944e-10 -1.45729e-10
5300 1.29143e-08 1.31896e-10 -1.07969e-10
5400 1.21825e-08 5.92423e-11 -3.48121e-10
5500 1.18165e-08 2.48388e-11 2.08457e-10
5600 1.32468e-08 5.42743e-10 -6.91486e-10
5700 1.22476e-08 2.30001e-10 -6.21876e-10
5800 1.2571e-08 2.04787e-12 4.75759e-11
5900 1.23301e-08 3.64705e-10 5.51844e-10
6000 1.26922e-08 9.45215e-11 -3.71503e-10
6100 1.37358e-08 4.00279e-11 1.9355e-10
6200 1.17359e-08 3.88749e-10 -9.13242e-10
6300 1.34139e-08 3.71272e-10 5.66877e-11
6400 1.17971e-08 -9.18986e-11 -4.06105e-10
6500 1.36987e-08 -5.04689e-10 1.70449e-11
6600 1.36273e-08 5.11701e-10 -1.41433e-10
6700 1.27263e-08 -6.39735e-10 1.5951e-09
6800 1.28488e-08 -1.4642e-09 1.52315e-10
6900 1.29072e-08 2.88775e-10 9.64455e-10
7000 1.31408e-08 1.85944e-10 -8.79522e-10
7100 1.41086e-08 7.47549e-10 5.48556e-10
7200 1.39939e-08 -5.97286e-10 -1.19615e-09
7300 1.14544e-08 8.15824e-10 3.4028e-11
7400 1.17646e-08 -5.13342e-10 7.16213e-10
7500 1.15358e-08 -4.74291e-10 5.73818e-11
7600 1.23653e-08 5.56608e-10 -2.65445e-10
7700 1.28572e-08 1.40742e-10 -3.36286e-10
7800 1.33676e-08 -3.35169e-10 1.71344e-10
7900 1.27257e-08 2.505e-10 -4.5702e-10
8000 1.15491e-08 2.84479e-10 -7.53041e-10
8100 1.23443e-08 5.10758e-10 2.57307e-10
8200 1.21634e-08 9.84369e-10 1.15991e-09
8300 1.2857e-08 5.41291e-10 -4.173e-10
8400 1.17071e-08 4.67974e-10 -7.78635e-10
8500 1.33168e-08 -7.03662e-10 4.30601e-10
8600 1.31442e-08 -9.86731e-10 3.41415e-10
8700 1.16855e-08 8.63382e-10 4.53046e-10
8800 1.29413e-08 4.82835e-10 6.42187e-10
8900 1.2577e-08 1.88856e-10 -5.79716e-11
9000 1.22358e-08 -9.51338e-10 -1.45767e-09
9100 1.12623e-08 -2.76072e-11 -2.29029e-11
9200 1.1408e-08 5.24016e-10 -1.00494e-10
9300 1.23055e-08 9.15e-10 2.36538e-10
9400 1.32896e-08 5.40044e-10 -4.01256e-10
9500 1.33001e-08 -7.71849e-11 6.02125e-10
9600 1.17438e-08 7.83716e-10 8.22518e-10
9700 1.26353e-08 -9.64795e-11 4.67751e-10
9800 1.27325e-08 8.13418e-10 -3.61385e-11
9900 1.16608e-08 7.6121e-10 3.62673e-10
10000 1.24333e-08 -7.85276e-10 -1.13664e-09
