ITEM: TIMESTEP
5000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
10000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.22794e-10 7.36578e-11 8.92609e-11 
5 2.54174e-10 1.61915e-10 6.54152e-11 
9 2.56223e-10 1.74374e-10 -6.5342e-11 
13 1.31295e-10 1.02046e-10 -1.03954e-10 
17 1.94567e-10 3.9765e-11 1.35232e-10 
21 5.23355e-10 1.02269e-10 1.12882e-10 
25 5.92698e-10 1.35619e-10 -1.36008e-10 
29 2.7077e-10 6.72398e-11 -1.8369e-10 
33 2.58564e-10 -4.71185e-11 1.61801e-10 
37 4.76658e-10 -9.5241e-11 8.76857e-11 
41 4.92894e-10 -1.15078e-10 -1.00939e-10 
45 2.71334e-10 -6.14035e-11 -1.60644e-10 
49 1.25941e-10 -6.53578e-11 6.47325e-11 
53 2.01727e-10 -1.25874e-10 3.87582e-11 
57 2.07105e-10 -1.46705e-10 -4.47974e-11 
61 1.43322e-10 -1.01477e-10 -8.26088e-11 
65 6.09426e-11 8.46105e-11 6.6223e-11 
69 1.42639e-10 1.9701e-10 5.60129e-11 
73 1.71627e-10 2.14398e-10 -5.28081e-11 
77 1.0013e-10 1.1003e-10 -9.33986e-11 
81 3.32971e-11 1.04314e-10 7.2067e-11 
85 5.39272e-11 1.98144e-10 4.98847e-11 
89 7.25272e-11 2.4654e-10 -5.96074e-11 
93 4.70079e-11 1.28848e-10 -8.7606e-11 
97 -7.33688e-12 5.19631e-11 3.32019e-11 
101 -1.08644e-11 9.20347e-11 2.23631e-11 
105 -1.53469e-11 9.32476e-11 -1.65837e-11 
109 -6.63939e-12 5.08782e-11 -3.4163e-11 
113 -7.94167e-12 1.40036e-11 9.75966e-12 
117 -1.52884e-11 2.60057e-11 7.01533e-12 
121 -9.51528e-12 1.81774e-11 -3.09651e-12 
125 -6.02983e-12 1.24917e-11 -7.5149e-12 
129 6.35607e-11 6.86097e-11 8.96945e-11 
133 1.15474e-10 4.41488e-11 1.56495e-10 
137 1.33509e-10 -4.49234e-11 1.7633e-10 
141 8.717e-11 -7.93746e-11 9.28845e-11 
145 2.39459e-11 6.24093e-11 8.42247e-11 
149 5.41415e-11 4.27795e-11 2.01984e-10 
153 5.67969e-11 -4.821e-11 1.92632e-10 
157 3.93875e-11 -8.13627e-11 1.11863e-10 
161 -4.77268e-12 3.41914e-11 5.44122e-11 
165 -9.07226e-12 1.76225e-11 8.20665e-11 
169 -1.98067e-11 -2.633e-11 1.07065e-10 
173 -1.06838e-11 -3.8534e-11 5.82043e-11 
177 -4.7782e-12 7.91746e-12 1.14756e-11 
181 -1.01414e-11 1.82515e-12 1.65691e-11 
185 -1.08878e-11 -3.81432e-12 1.65295e-11 
189 -8.58636e-12 -1.24731e-11 1.83945e-11 
2 1.36208e-10 1.02375e-10 8.43945e-11 
6 1.90461e-10 1.31658e-10 3.70562e-11 
10 2.39047e-10 1.43807e-10 -5.07268e-11 
14 1.07822e-10 5.47754e-11 -5.61997e-11 
18 2.42437e-10 5.24359e-11 1.44993e-10 
22 5.10231e-10 1.10744e-10 1.01651e-10 
26 4.95406e-10 9.70643e-11 -9.69286e-11 
30 2.23923e-10 4.21857e-11 -1.31935e-10 
34 2.86266e-10 -7.01678e-11 1.87184e-10 
38 5.12092e-10 -1.20165e-10 1.19585e-10 
42 5.09911e-10 -1.02644e-10 -1.10956e-10 
46 2.02536e-10 -3.93438e-11 -1.33968e-10 
50 1.37401e-10 -1.02249e-10 1.01561e-10 
54 2.40677e-10 -1.59577e-10 5.75662e-11 
58 2.69477e-10 -1.62924e-10 -6.23764e-11 
62 1.21509e-10 -7.82999e-11 -8.85918e-11 
66 7.13802e-11 8.23689e-11 5.68114e-11 
70 1.31347e-10 1.58097e-10 3.82209e-11 
74 9.77424e-11 1.37231e-10 -2.77617e-11 
78 5.42225e-11 8.12192e-11 -4.91297e-11 
82 4.17905e-11 1.20587e-10 7.87384e-11 
86 6.39811e-11 2.09586e-10 3.67195e-11 
90 5.67248e-11 1.85386e-10 -3.64055e-11 
94 2.31034e-11 8.70609e-11 -5.5333e-11 
98 -6.93588e-12 5.56964e-11 4.29931e-11 
102 -1.62486e-11 9.60639e-11 2.57031e-11 
106 -1.20347e-11 1.00689e-10 -2.48304e-11 
110 -5.75371e-12 4.64598e-11 -3.44077e-11 
114 -1.12364e-11 1.61415e-11 1.66877e-11 
118 -1.57527e-11 2.91118e-11 6.55465e-12 
122 -1.56535e-11 2.68924e-11 -7.05292e-12 
126 -9.27608e-12 1.82799e-11 -1.39069e-11 
130 8.25264e-11 6.20674e-11 1.03234e-10 
134 1.07698e-10 3.14571e-11 1.35559e-10 
