ITEM: TIMESTEP
0
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_blocks[1] f_f_drag_blocks[2] f_f_drag_blocks[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
200
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_blocks[1] f_f_drag_blocks[2] f_f_drag_blocks[3] 
1 0 0 0 
5 1.96727e-10 1.19037e-10 7.68802e-11 
9 3.43463e-10 3.1509e-10 -1.09007e-10 
13 3.44907e-10 2.4778e-10 -2.35687e-10 
17 1.43477e-10 -7.30697e-11 8.86967e-11 
21 8.71434e-10 2.23757e-10 1.85502e-10 
25 1.57749e-09 5.78805e-10 -4.91087e-10 
29 3.02041e-10 6.26733e-11 -1.70057e-10 
33 2.00123e-10 -5.39404e-11 1.57511e-10 
37 6.33163e-10 -1.27819e-10 7.00336e-11 
41 3.76372e-10 -9.42929e-11 -8.58535e-11 
45 5.29282e-10 -3.45881e-11 -1.51078e-10 
49 9.05817e-11 -4.05153e-11 6.02214e-11 
53 0 0 0 
57 4.30211e-10 -2.99994e-10 -1.64389e-10 
61 0 0 0 
65 0 0 0 
69 1.7073e-10 2.61381e-10 5.7277e-11 
73 1.18524e-10 1.77813e-10 -9.38649e-11 
77 1.76315e-10 2.50348e-10 -1.1389e-10 
81 0 0 0 
85 5.80624e-11 1.26364e-10 9.04911e-11 
89 3.5104e-11 2.72616e-10 -1.04271e-10 
93 2.20288e-10 7.75559e-10 -4.83157e-10 
97 -6.82234e-11 1.47829e-10 6.19818e-11 
101 0 0 0 
105 -1.75585e-11 1.27396e-10 -1.17523e-10 
109 1.8641e-11 9.37309e-11 -1.88406e-11 
113 -7.04559e-11 1.20207e-10 1.15669e-10 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 3.3716e-11 1.21515e-11 8.42787e-11 
133 0 0 0 
137 1.58192e-10 2.54282e-11 1.79528e-10 
141 1.8649e-10 -2.03253e-10 1.0582e-10 
145 0 0 0 
149 4.60081e-11 5.19511e-12 6.36551e-11 
153 -1.37146e-11 -4.65073e-11 2.66023e-11 
157 -6.38421e-12 -1.91842e-10 1.92055e-10 
161 0 0 0 
165 5.68407e-11 3.41055e-11 9.24343e-11 
169 1.89683e-11 -1.88199e-11 3.49841e-10 
173 -1.05512e-11 -1.11407e-10 1.55696e-10 
177 0 0 0 
181 -7.40717e-11 3.67764e-11 1.63974e-10 
185 -4.83461e-11 -4.6827e-11 8.32211e-11 
189 -4.39904e-11 -6.55183e-11 8.67032e-11 
2 0 0 0 
6 1.40421e-10 9.0264e-12 6.95996e-12 
10 0 0 0 
14 0 0 0 
18 2.41532e-10 1.2142e-10 1.4058e-10 
22 5.57309e-10 1.51204e-10 1.75183e-10 
26 2.86392e-10 8.65727e-11 -1.80557e-11 
30 0 0 0 
34 3.62469e-10 -7.93731e-11 2.6089e-10 
38 3.66318e-10 -4.65336e-11 7.68376e-11 
42 4.27023e-10 -1.65522e-10 -6.74773e-11 
46 2.69987e-10 -6.10338e-11 -3.17447e-10 
50 1.08522e-10 -8.368e-11 3.62235e-11 
54 8.1665e-11 -1.129e-10 1.12631e-11 
58 1.33187e-10 -1.11597e-10 -5.59985e-11 
62 4.8688e-10 -2.55172e-10 -3.76854e-10 
66 1.98996e-10 2.18984e-10 1.73469e-10 
70 0 0 0 
74 1.06439e-10 2.55864e-10 2.09922e-11 
78 0 0 0 
82 1.22449e-10 2.13994e-10 2.11967e-10 
86 9.9145e-11 3.90448e-10 3.50856e-11 
90 5.85877e-11 1.02314e-10 -3.83799e-11 
94 0 0 0 
98 0 0 0 
102 -2.45017e-12 6.5765e-11 5.78087e-11 
106 0 0 0 
110 9.03168e-12 1.32041e-11 -7.03528e-11 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 3.1246e-11 4.74658e-11 -5.39435e-11 
130 0 0 0 
134 1.57543e-10 7.23487e-11 1.53595e-10 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 6.36789e-11 2.90596e-11 6.70613e-11 
158 0 0 0 
162 0 0 0 
166 -1.71028e-12 1.30832e-11 6.14776e-11 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 -5.46413e-11 6.05386e-11 3.94669e-11 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 -8.1314e-11 2.49135e-11 -2.02972e-11 
35 0 0 0 
39 -8.81668e-11 -1.12324e-11 8.6793e-12 
43 -9.96171e-11 -6.87851e-11 -2.18754e-11 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 2.20111e-10 -1.64247e-10 5.12932e-11 
75 0 0 0 
79 1.204e-10 -1.37869e-10 -9.63903e-11 
83 0 0 0 
87 0 0 0 
91 1.35403e-10 -4.85789e-10 -1.16982e-10 
